root - INFO - Scrutinize_data is called.
root - INFO - Scenery count: 40
root - INFO - Atmosphere count: 50
root - INFO - Genre: Post-Apocalyptic
root - INFO - Rooms count: 8
root - INFO - Room type: castle
root - INFO - Name count: 42
root - INFO - Adjectives count: 42
root - INFO - Scenery count: 41
root - INFO - Atmosphere count: 51
root - INFO - Room type: forest
root - INFO - Name count: 41
root - INFO - Adjectives count: 72
root - INFO - Scenery count: 49
root - INFO - Atmosphere count: 72
root - INFO - Room type: cavern
root - INFO - Name count: 34
root - INFO - Adjectives count: 50
root - INFO - Scenery count: 50
root - INFO - Atmosphere count: 49
root - INFO - Room type: crypt
root - INFO - Name count: 50
root - INFO - Adjectives count: 50
root - INFO - Scenery count: 51
root - INFO - Atmosphere count: 52
root - INFO - Room type: library
root - INFO - Name count: 54
root - INFO - Adjectives count: 39
root - INFO - Scenery count: 51
root - INFO - Atmosphere count: 49
root - INFO - Room type: tavern
root - INFO - Name count: 40
root - INFO - Adjectives count: 50
root - INFO - Scenery count: 50
root - INFO - Atmosphere count: 40
root - INFO - Room type: garden
root - INFO - Name count: 40
root - INFO - Adjectives count: 40
root - INFO - Scenery count: 51
root - INFO - Atmosphere count: 50
root - INFO - Room type: featureless space
root - INFO - Name count: 50
root - INFO - Adjectives count: 39
root - INFO - Scenery count: 40
root - INFO - Atmosphere count: 50
root - DEBUG - Data keys after loading: dict_keys(['genre', 'elements'])
root - DEBUG - Data length after loading: 2
root - INFO - Data loaded successfully.
root - INFO - Elements found in data.
root - DEBUG - Elements before map generation: {'game_title': 
root - DEBUG - Rooms before map generation: [{'type': 'castle', 
root - INFO - Room types selected are: ['castle', 'tavern', 'featureless space', 'garden', 'cavern', 'forest', 'crypt', 'library']
root - INFO - Checked if the map was full. There are 81 empty positions left in the grid.
root - INFO - Checked if the map was full. There are 81 empty positions left in the grid.
root - DEBUG - Current state of is_map_full: False
root - INFO - Attempting to create cluster 0 with room type castle
root - INFO - Adding first room in cluster 0 at (4, 4)
root - INFO - Adding room to cluster 0 at 4, 4
root - INFO - Adding a room for cluster 0 at (5, 4), after which there will be 1 rooms in the cluster.
root - INFO - Adding room to cluster 0 at 5, 4
root - INFO - Adding a room for cluster 0 at (3, 4), after which there will be 2 rooms in the cluster.
root - INFO - Adding room to cluster 0 at 3, 4
root - INFO - Adding a room for cluster 0 at (4, 5), after which there will be 3 rooms in the cluster.
root - INFO - Adding room to cluster 0 at 4, 5
root - INFO - Adding a room for cluster 0 at (4, 3), after which there will be 4 rooms in the cluster.
root - INFO - Adding room to cluster 0 at 4, 3
root - INFO - Adding a room for cluster 0 at (6, 4), after which there will be 5 rooms in the cluster.
root - INFO - Adding room to cluster 0 at 6, 4
root - INFO - Adding a room for cluster 0 at (2, 4), after which there will be 6 rooms in the cluster.
root - INFO - Adding room to cluster 0 at 2, 4
root - INFO - Adding a room for cluster 0 at (4, 6), after which there will be 7 rooms in the cluster.
root - INFO - Adding room to cluster 0 at 4, 6
root - INFO - Adding a room for cluster 0 at (5, 3), after which there will be 8 rooms in the cluster.
root - INFO - Adding room to cluster 0 at 5, 3
root - INFO - Adding a room for cluster 0 at (5, 6), after which there will be 9 rooms in the cluster.
root - INFO - Adding room to cluster 0 at 5, 6
root - INFO - Cluster creation result: True
root - INFO - Setting player start room: 5, 6
root - INFO - The player's start room is: 5, 6
root - INFO - Checked if the map was full. There are 71 empty positions left in the grid.
root - INFO - Checked if the map was full. There are 71 empty positions left in the grid.
root - INFO - Checked if the map was full. There are 71 empty positions left in the grid.
root - DEBUG - Current state of is_map_full: False
root - INFO - Attempting to create cluster 1 with room type tavern
root - INFO - Adding first room in cluster 1 at (8, 4)
root - INFO - Adding room to cluster 1 at 8, 4
root - INFO - Adding a room for cluster 1 at (7, 4), after which there will be 1 rooms in the cluster.
root - INFO - Adding room to cluster 1 at 7, 4
root - INFO - Adding a room for cluster 1 at (7, 5), after which there will be 2 rooms in the cluster.
root - INFO - Adding room to cluster 1 at 7, 5
root - INFO - Adding a room for cluster 1 at (8, 3), after which there will be 3 rooms in the cluster.
root - INFO - Adding room to cluster 1 at 8, 3
root - INFO - Adding a room for cluster 1 at (7, 3), after which there will be 4 rooms in the cluster.
root - INFO - Adding room to cluster 1 at 7, 3
root - INFO - Adding a room for cluster 1 at (7, 6), after which there will be 5 rooms in the cluster.
root - INFO - Adding room to cluster 1 at 7, 6
root - INFO - Adding a room for cluster 1 at (7, 7), after which there will be 6 rooms in the cluster.
root - INFO - Adding room to cluster 1 at 7, 7
root - INFO - Adding a room for cluster 1 at (7, 8), after which there will be 7 rooms in the cluster.
root - INFO - Adding room to cluster 1 at 7, 8
root - INFO - Adding a room for cluster 1 at (6, 8), after which there will be 8 rooms in the cluster.
root - INFO - Adding room to cluster 1 at 6, 8
root - INFO - Adding a room for cluster 1 at (6, 7), after which there will be 9 rooms in the cluster.
root - INFO - Adding room to cluster 1 at 6, 7
root - INFO - Cluster creation result: True
root - INFO - Checked if the map was full. There are 61 empty positions left in the grid.
root - INFO - Checked if the map was full. There are 61 empty positions left in the grid.
root - INFO - Checked if the map was full. There are 61 empty positions left in the grid.
root - DEBUG - Current state of is_map_full: False
root - INFO - Attempting to create cluster 2 with room type featureless space
root - INFO - Adding first room in cluster 2 at (3, 7)
root - INFO - Adding room to cluster 2 at 3, 7
root - INFO - Adding a room for cluster 2 at (3, 8), after which there will be 1 rooms in the cluster.
root - INFO - Adding room to cluster 2 at 3, 8
root - INFO - Adding a room for cluster 2 at (3, 6), after which there will be 2 rooms in the cluster.
root - INFO - Adding room to cluster 2 at 3, 6
root - INFO - Adding a room for cluster 2 at (2, 7), after which there will be 3 rooms in the cluster.
root - INFO - Adding room to cluster 2 at 2, 7
root - INFO - Adding a room for cluster 2 at (4, 8), after which there will be 4 rooms in the cluster.
root - INFO - Adding room to cluster 2 at 4, 8
root - INFO - Adding a room for cluster 2 at (4, 7), after which there will be 5 rooms in the cluster.
root - INFO - Adding room to cluster 2 at 4, 7
root - INFO - Adding a room for cluster 2 at (2, 8), after which there will be 6 rooms in the cluster.
root - INFO - Adding room to cluster 2 at 2, 8
root - INFO - Adding a room for cluster 2 at (5, 7), after which there will be 7 rooms in the cluster.
root - INFO - Adding room to cluster 2 at 5, 7
root - INFO - Cluster creation result: True
root - INFO - Checked if the map was full. There are 53 empty positions left in the grid.
root - INFO - Checked if the map was full. There are 53 empty positions left in the grid.
root - INFO - Checked if the map was full. There are 53 empty positions left in the grid.
root - DEBUG - Current state of is_map_full: False
root - INFO - Attempting to create cluster 3 with room type garden
root - INFO - Adding first room in cluster 3 at (3, 1)
root - INFO - Adding room to cluster 3 at 3, 1
root - INFO - Adding a room for cluster 3 at (2, 1), after which there will be 1 rooms in the cluster.
root - INFO - Adding room to cluster 3 at 2, 1
root - INFO - Adding a room for cluster 3 at (3, 2), after which there will be 2 rooms in the cluster.
root - INFO - Adding room to cluster 3 at 3, 2
root - INFO - Adding a room for cluster 3 at (4, 1), after which there will be 3 rooms in the cluster.
root - INFO - Adding room to cluster 3 at 4, 1
root - INFO - Adding a room for cluster 3 at (4, 2), after which there will be 4 rooms in the cluster.
root - INFO - Adding room to cluster 3 at 4, 2
root - INFO - Adding a room for cluster 3 at (5, 2), after which there will be 5 rooms in the cluster.
root - INFO - Adding room to cluster 3 at 5, 2
root - INFO - Adding a room for cluster 3 at (2, 2), after which there will be 6 rooms in the cluster.
root - INFO - Adding room to cluster 3 at 2, 2
root - INFO - Adding a room for cluster 3 at (2, 0), after which there will be 7 rooms in the cluster.
root - INFO - Adding room to cluster 3 at 2, 0
root - INFO - Adding a room for cluster 3 at (3, 3), after which there will be 8 rooms in the cluster.
root - INFO - Adding room to cluster 3 at 3, 3
root - INFO - Cluster creation result: True
root - INFO - Checked if the map was full. There are 44 empty positions left in the grid.
root - INFO - Checked if the map was full. There are 44 empty positions left in the grid.
root - INFO - Checked if the map was full. There are 44 empty positions left in the grid.
root - DEBUG - Current state of is_map_full: False
root - INFO - Attempting to create cluster 4 with room type cavern
root - INFO - Adding first room in cluster 4 at (6, 6)
root - INFO - Adding room to cluster 4 at 6, 6
root - INFO - Adding a room for cluster 4 at (6, 5), after which there will be 1 rooms in the cluster.
root - INFO - Adding room to cluster 4 at 6, 5
root - INFO - Adding a room for cluster 4 at (5, 5), after which there will be 2 rooms in the cluster.
root - INFO - Adding room to cluster 4 at 5, 5
root - INFO - Cluster creation result: True
root - INFO - Checked if the map was full. There are 41 empty positions left in the grid.
root - INFO - Checked if the map was full. There are 41 empty positions left in the grid.
root - INFO - Checked if the map was full. There are 41 empty positions left in the grid.
root - DEBUG - Current state of is_map_full: False
root - INFO - Attempting to create cluster 5 with room type forest
root - INFO - Adding first room in cluster 5 at (0, 2)
root - INFO - Adding room to cluster 5 at 0, 2
root - INFO - Adding a room for cluster 5 at (0, 3), after which there will be 1 rooms in the cluster.
root - INFO - Adding room to cluster 5 at 0, 3
root - INFO - Adding a room for cluster 5 at (0, 4), after which there will be 2 rooms in the cluster.
root - INFO - Adding room to cluster 5 at 0, 4
root - INFO - Adding a room for cluster 5 at (1, 2), after which there will be 3 rooms in the cluster.
root - INFO - Adding room to cluster 5 at 1, 2
root - INFO - Adding a room for cluster 5 at (1, 3), after which there will be 4 rooms in the cluster.
root - INFO - Adding room to cluster 5 at 1, 3
root - INFO - Adding a room for cluster 5 at (0, 1), after which there will be 5 rooms in the cluster.
root - INFO - Adding room to cluster 5 at 0, 1
root - INFO - Adding a room for cluster 5 at (1, 1), after which there will be 6 rooms in the cluster.
root - INFO - Adding room to cluster 5 at 1, 1
root - INFO - Cluster creation result: True
root - INFO - Checked if the map was full. There are 34 empty positions left in the grid.
root - INFO - Checked if the map was full. There are 34 empty positions left in the grid.
root - INFO - Checked if the map was full. There are 34 empty positions left in the grid.
root - DEBUG - Current state of is_map_full: False
root - INFO - Attempting to create cluster 6 with room type crypt
root - INFO - Adding first room in cluster 6 at (0, 7)
root - INFO - Adding room to cluster 6 at 0, 7
root - INFO - Adding a room for cluster 6 at (0, 6), after which there will be 1 rooms in the cluster.
root - INFO - Adding room to cluster 6 at 0, 6
root - INFO - Adding a room for cluster 6 at (1, 7), after which there will be 2 rooms in the cluster.
root - INFO - Adding room to cluster 6 at 1, 7
root - INFO - Adding a room for cluster 6 at (1, 8), after which there will be 3 rooms in the cluster.
root - INFO - Adding room to cluster 6 at 1, 8
root - INFO - Adding a room for cluster 6 at (0, 5), after which there will be 4 rooms in the cluster.
root - INFO - Adding room to cluster 6 at 0, 5
root - INFO - Adding a room for cluster 6 at (1, 5), after which there will be 5 rooms in the cluster.
root - INFO - Adding room to cluster 6 at 1, 5
root - INFO - Adding a room for cluster 6 at (2, 5), after which there will be 6 rooms in the cluster.
root - INFO - Adding room to cluster 6 at 2, 5
root - INFO - Adding a room for cluster 6 at (1, 4), after which there will be 7 rooms in the cluster.
root - INFO - Adding room to cluster 6 at 1, 4
root - INFO - Cluster creation result: True
root - INFO - Checked if the map was full. There are 26 empty positions left in the grid.
root - INFO - Checked if the map was full. There are 26 empty positions left in the grid.
root - INFO - Checked if the map was full. There are 26 empty positions left in the grid.
root - DEBUG - Current state of is_map_full: False
root - INFO - Attempting to create cluster 7 with room type library
root - INFO - Adding first room in cluster 7 at (8, 7)
root - INFO - Adding room to cluster 7 at 8, 7
root - INFO - Adding a room for cluster 7 at (8, 8), after which there will be 1 rooms in the cluster.
root - INFO - Adding room to cluster 7 at 8, 8
root - INFO - Adding a room for cluster 7 at (8, 6), after which there will be 2 rooms in the cluster.
root - INFO - Adding room to cluster 7 at 8, 6
root - INFO - Adding a room for cluster 7 at (8, 5), after which there will be 3 rooms in the cluster.
root - INFO - Adding room to cluster 7 at 8, 5
root - INFO - Cluster creation result: True
root - INFO - Checked if the map was full. There are 22 empty positions left in the grid.
root - INFO - Checked if the map was full. There are 22 empty positions left in the grid.
root - INFO - Checked if the map was full. There are 22 empty positions left in the grid.
root - DEBUG - Current state of is_map_full: False
root - INFO - Attempting to create cluster 8 with room type castle
root - INFO - Adding first room in cluster 8 at (7, 0)
root - INFO - Adding room to cluster 8 at 7, 0
root - INFO - Adding a room for cluster 8 at (7, 1), after which there will be 1 rooms in the cluster.
root - INFO - Adding room to cluster 8 at 7, 1
root - INFO - Adding a room for cluster 8 at (8, 0), after which there will be 2 rooms in the cluster.
root - INFO - Adding room to cluster 8 at 8, 0
root - INFO - Adding a room for cluster 8 at (6, 1), after which there will be 3 rooms in the cluster.
root - INFO - Adding room to cluster 8 at 6, 1
root - INFO - Adding a room for cluster 8 at (7, 2), after which there will be 4 rooms in the cluster.
root - INFO - Adding room to cluster 8 at 7, 2
root - INFO - Adding a room for cluster 8 at (8, 1), after which there will be 5 rooms in the cluster.
root - INFO - Adding room to cluster 8 at 8, 1
root - INFO - Adding a room for cluster 8 at (8, 2), after which there will be 6 rooms in the cluster.
root - INFO - Adding room to cluster 8 at 8, 2
root - INFO - Cluster creation result: True
root - INFO - Checked if the map was full. There are 15 empty positions left in the grid.
root - INFO - Checked if the map was full. There are 15 empty positions left in the grid.
root - INFO - Checked if the map was full. There are 15 empty positions left in the grid.
root - DEBUG - Current state of is_map_full: False
root - INFO - Attempting to create cluster 9 with room type tavern
root - INFO - Adding first room in cluster 9 at (6, 3)
root - INFO - Adding room to cluster 9 at 6, 3
root - INFO - Adding a room for cluster 9 at (6, 2), after which there will be 1 rooms in the cluster.
root - INFO - Adding room to cluster 9 at 6, 2
root - INFO - Cluster creation result: True
root - INFO - Checked if the map was full. There are 13 empty positions left in the grid.
root - INFO - Checked if the map was full. There are 13 empty positions left in the grid.
root - INFO - Checked if the map was full. There are 13 empty positions left in the grid.
root - DEBUG - Current state of is_map_full: False
root - INFO - Attempting to create cluster 10 with room type featureless space
root - INFO - Adding first room in cluster 10 at (4, 0)
root - INFO - Adding room to cluster 10 at 4, 0
root - INFO - Adding a room for cluster 10 at (3, 0), after which there will be 1 rooms in the cluster.
root - INFO - Adding room to cluster 10 at 3, 0
root - INFO - Adding a room for cluster 10 at (5, 0), after which there will be 2 rooms in the cluster.
root - INFO - Adding room to cluster 10 at 5, 0
root - INFO - Adding a room for cluster 10 at (5, 1), after which there will be 3 rooms in the cluster.
root - INFO - Adding room to cluster 10 at 5, 1
root - INFO - Adding a room for cluster 10 at (6, 0), after which there will be 4 rooms in the cluster.
root - INFO - Adding room to cluster 10 at 6, 0
root - INFO - Cluster creation result: True
root - INFO - Checked if the map was full. There are 8 empty positions left in the grid.
root - INFO - Checked if the map was full. There are 8 empty positions left in the grid.
root - INFO - Checked if the map was full. There are 8 empty positions left in the grid.
root - DEBUG - Current state of is_map_full: False
root - INFO - Attempting to create cluster 11 with room type garden
root - INFO - Adding first room in cluster 11 at (2, 3)
root - INFO - Adding room to cluster 11 at 2, 3
root - INFO - Cluster creation result: True
root - INFO - Checked if the map was full. There are 7 empty positions left in the grid.
root - INFO - Checked if the map was full. There are 7 empty positions left in the grid.
root - INFO - Checked if the map was full. There are 7 empty positions left in the grid.
root - DEBUG - Current state of is_map_full: False
root - INFO - Attempting to create cluster 12 with room type cavern
root - INFO - Adding first room in cluster 12 at (2, 6)
root - INFO - Adding room to cluster 12 at 2, 6
root - INFO - Adding a room for cluster 12 at (1, 6), after which there will be 1 rooms in the cluster.
root - INFO - Adding room to cluster 12 at 1, 6
root - INFO - Cluster creation result: True
root - INFO - Checked if the map was full. There are 5 empty positions left in the grid.
root - INFO - Checked if the map was full. There are 5 empty positions left in the grid.
root - INFO - Checked if the map was full. There are 5 empty positions left in the grid.
root - DEBUG - Current state of is_map_full: False
root - INFO - Attempting to create cluster 13 with room type forest
root - INFO - Adding first room in cluster 13 at (3, 5)
root - INFO - Adding room to cluster 13 at 3, 5
root - INFO - Cluster creation result: True
root - INFO - Checked if the map was full. There are 4 empty positions left in the grid.
root - INFO - Checked if the map was full. There are 4 empty positions left in the grid.
root - INFO - Checked if the map was full. There are 4 empty positions left in the grid.
root - DEBUG - Current state of is_map_full: False
root - INFO - Attempting to create cluster 14 with room type crypt
root - INFO - Adding first room in cluster 14 at (0, 8)
root - INFO - Adding room to cluster 14 at 0, 8
root - INFO - Cluster creation result: True
root - INFO - Checked if the map was full. There are 3 empty positions left in the grid.
root - INFO - Checked if the map was full. There are 3 empty positions left in the grid.
root - INFO - Checked if the map was full. There are 3 empty positions left in the grid.
root - DEBUG - Current state of is_map_full: False
root - INFO - Attempting to create cluster 15 with room type library
root - INFO - Adding first room in cluster 15 at (1, 0)
root - INFO - Adding room to cluster 15 at 1, 0
root - INFO - Adding a room for cluster 15 at (0, 0), after which there will be 1 rooms in the cluster.
root - INFO - Adding room to cluster 15 at 0, 0
root - INFO - Cluster creation result: True
root - INFO - Checked if the map was full. There are 1 empty positions left in the grid.
root - INFO - Checked if the map was full. There are 1 empty positions left in the grid.
root - INFO - Checked if the map was full. There are 1 empty positions left in the grid.
root - DEBUG - Current state of is_map_full: False
root - INFO - Attempting to create cluster 16 with room type castle
root - INFO - Adding first room in cluster 16 at (5, 8)
root - INFO - Adding room to cluster 16 at 5, 8
root - INFO - Cluster creation result: True
root - INFO - Checked if the map was full. There are 0 empty positions left in the grid.
root - INFO - Checked if the map was full. There are 0 empty positions left in the grid.
root - INFO - Number of clusters created: 17
root - INFO - Number of rooms in cluster 0: 10
root - INFO - Number of rooms in cluster 1: 10
root - INFO - Number of rooms in cluster 2: 8
root - INFO - Number of rooms in cluster 3: 9
root - INFO - Number of rooms in cluster 4: 3
root - INFO - Number of rooms in cluster 5: 7
root - INFO - Number of rooms in cluster 6: 8
root - INFO - Number of rooms in cluster 7: 4
root - INFO - Number of rooms in cluster 8: 7
root - INFO - Number of rooms in cluster 9: 2
root - INFO - Number of rooms in cluster 10: 5
root - INFO - Number of rooms in cluster 11: 1
root - INFO - Number of rooms in cluster 12: 2
root - INFO - Number of rooms in cluster 13: 1
root - INFO - Number of rooms in cluster 14: 1
root - INFO - Number of rooms in cluster 15: 2
root - INFO - Number of rooms in cluster 16: 1
root - INFO - Total connections in cluster 0: 40
root - INFO - Total connections in cluster 1: 40
root - INFO - Total connections in cluster 2: 32
root - INFO - Total connections in cluster 3: 36
root - INFO - Total connections in cluster 4: 12
root - INFO - Total connections in cluster 5: 28
root - INFO - Total connections in cluster 6: 32
root - INFO - Total connections in cluster 7: 16
root - INFO - Total connections in cluster 8: 28
root - INFO - Total connections in cluster 9: 8
root - INFO - Total connections in cluster 10: 20
root - INFO - Total connections in cluster 11: 4
root - INFO - Total connections in cluster 12: 8
root - INFO - Total connections in cluster 13: 4
root - INFO - Total connections in cluster 14: 4
root - INFO - Total connections in cluster 15: 8
root - INFO - Total connections in cluster 16: 4
root - INFO - Room type castle used: 18 times.
root - INFO - Room type tavern used: 12 times.
root - INFO - Room type featureless space used: 13 times.
root - INFO - Room type garden used: 10 times.
root - INFO - Room type cavern used: 5 times.
root - INFO - Room type forest used: 8 times.
root - INFO - Room type crypt used: 9 times.
root - INFO - Room type library used: 6 times.
root - INFO - Game map successfully generated.
